7519231;All Clear (All Clear, #2);Connie Willis;/book/show/7519231-all-clear;4.07;16121;2010
36600950;Deadly Pretty Strangers: One dead body, one bereaved mother, one small favour ...;Max Thorn;/book/show/36600950-deadly-pretty-strangers;4.29;31;2017
2407022;Marsbound (Marsbound, #1);Joe Haldeman;/book/show/2407022.Marsbound;3.55;2713;2008
23122151;Skybound (The Naming of Legends, #3);Wendy Beck;/book/show/23122151-skybound;4.33;27;2014
17974986;Fury of the Fifth Angel (Chronos Initiative, #1);William Turnage;/book/show/17974986-fury-of-the-fifth-angel;3.73;146;2013
21618;Forever Peace (The Forever War, #2);Joe Haldeman;/book/show/21618.Forever_Peace;3.74;17317;1998
21611;The Forever War (The Forever War, #1);Joe Haldeman;/book/show/21611.The_Forever_War;4.15;130340;2003
510342;Dark Matter: A Century of Speculative Fiction from the African Diaspora;Sheree Thomas;/book/show/510342.Dark_Matter;4.17;1038;2001
105;Chapterhouse: Dune (Dune Chronicles #6);Frank Herbert;/book/show/105.Chapterhouse;3.91;43968;1987
6919272;Saphirblau (Edelstein-Trilogie, #2);Kerstin Gier;/book/show/6919272-saphirblau;4.17;69800;2010
7006562;Stephen King's N.;Marc Guggenheim;/book/show/7006562-stephen-king-s-n;4.24;13501;2010
23339484;Aware;David S.   Reynolds;/book/show/23339484-aware;4.33;3;2014
6353009;Born of Fire (The League, #2);Sherrilyn Kenyon;/book/show/6353009-born-of-fire;4.33;16972;2009
582675;Berserker (Berserker, #1);Fred Saberhagen;/book/show/582675.Berserker;3.86;7086;1986
37116468;I Am Waltz;Matthew D. Dho;/book/show/37116468-i-am-waltz;4.08;40;2018
8122895;Celestial Heat;Ali Atwood;/book/show/8122895-celestial-heat;4.19;26;2010
678245;Doctor Who: Reckless Engineering;Nick Walters;/book/show/678245.Doctor_Who;3.44;110;2004
28678856;Crystal Society (Crystal Trilogy, #1);Max Harms;/book/show/28678856-crystal-society;4.20;494;2016
316876;The Chronicles of Amber (The Chronicles of Amber, #1-5);Roger Zelazny;/book/show/316876.The_Chronicles_of_Amber;4.37;10473;2003
10357575;1Q84;Haruki Murakami;/book/show/10357575-1q84;3.92;185418;2011
1833141;Mindbridge;Joe Haldeman;/book/show/1833141.Mindbridge;3.75;2090;1978
1860037;Le Goût de l'immortalité;Catherine Dufour;/book/show/1860037.Le_Go_t_de_l_immortalit_;3.61;115;2007
85434;The Currents of Space (Galactic Empire #2);Isaac Asimov;/book/show/85434.The_Currents_of_Space;3.83;13499;1991
7132363;Freedom™ (Daemon, #2);Daniel Suarez;/book/show/7132363-freedom;4.27;24619;2010
564325;Last and First Men/Star Maker;Olaf Stapledon;/book/show/564325.Last_and_First_Men_Star_Maker;4.03;537;1968
22874;The Gap Into Vision: Forbidden Knowledge (Gap, #2);Stephen R. Donaldson;/book/show/22874.The_Gap_Into_Vision;3.99;5612;2010
85873;Aye, and Gomorrah;Samuel R. Delany;/book/show/85873.Aye_and_Gomorrah;4.02;799;2003
11882499;Virtues of War (Virtues of War, #1);Bennett R. Coles;/book/show/11882499-virtues-of-war;3.71;272;2011
22877;The Gap Into Power: A Dark and Hungry God Arises (Gap, #3);Stephen R. Donaldson;/book/show/22877.The_Gap_Into_Power;4.08;6075;2009
22871;The Gap Into Madness: Chaos and Order (Gap, #4);Stephen R. Donaldson;/book/show/22871.The_Gap_Into_Madness;4.15;5246;1994
7094569;Feed (Newsflesh Trilogy, #1);Mira Grant;/book/show/7094569-feed;3.85;50384;2010
20582474;Vår verden er dugg;Tor Åge Bringsværd;/book/show/20582474-v-r-verden-er-dugg;3.95;40;2014
753136;Courtship Rite;Donald Kingsbury;/book/show/753136.Courtship_Rite;3.97;515;1983
839934;Dolphin Island;Arthur C. Clarke;/book/show/839934.Dolphin_Island;3.63;1359;1981
889284;The Postman;David Brin;/book/show/889284.The_Postman;3.89;29788;1997
6080337;The Year of the Flood;Margaret Atwood;/book/show/6080337-the-year-of-the-flood;4.07;97830;2009
21471358;IA: Initiate (IA #1);John Darryl Winston;/book/show/21471358-ia;4.03;706;2017
22066501;The Doors Of His Face, The Lamps Of His Mouth;Roger Zelazny;/book/show/22066501-the-doors-of-his-face-the-lamps-of-his-mouth;4.08;3623;2014
25037195;Japheth's Cube;Jay Inman;/book/show/25037195-japheth-s-cube;5.00;5.00 avg rating — 1 rating;2015
22469079;Executor Rising (The Circuit, #1);Rhett C. Bruno;/book/show/22469079-executor-rising;3.82;212;2014
17702458;Tomorrow's Child;Ray Bradbury;/book/show/17702458-tomorrow-s-child;4.10;82;
186103;Peeps (Peeps, #1);Scott Westerfeld;/book/show/186103.Peeps;3.77;23798;2005
1752869;Wind Dancers;R.M. Meluch;/book/show/1752869.Wind_Dancers;3.97;29;1986
20417;Have Space Suit—Will Travel;Robert A. Heinlein;/book/show/20417.Have_Space_Suit_Will_Travel;3.90;25608;2005
13618547;Amalgam (The Valaran Chronicles, #1);Byron A. Wells;/book/show/13618547-amalgam;3.97;29;2012
6050678;Leviathan (Leviathan, #1);Scott Westerfeld;/book/show/6050678-leviathan;3.92;82636;2009
29966530;The Wanderers;Meg Howrey;/book/show/29966530-the-wanderers;3.55;4135;2017
769902;Sandkings;George R.R. Martin;/book/show/769902.Sandkings;4.24;4176;1986
403277;The Land That Time Forgot Collection (Caspak #1-3);Edgar Rice Burroughs;/book/show/403277.The_Land_That_Time_Forgot_Collection;3.90;7533;1999
43277612;Wayfarer: AV494;Matthew S. Cox;/book/show/43277612-wayfarer;4.00;63;
67035;Relic (Pendergast, #1);Douglas Preston;/book/show/67035.Relic;4.02;89556;2005
17564064;Sean Yeager: Hunters Hunted (Sean Yeager Adventures, #2);D.M. Jarrett;/book/show/17564064-sean-yeager;4.08;13;2013
20914549;Технокосм;Александр Лазаревич;/book/show/20914549;4.00;12;2007
5481;Brave New World Revisited;Aldous Huxley;/book/show/5481.Brave_New_World_Revisited;3.95;15107;2006
17446528;Storm Assault (Star Force, #8);B.V. Larson;/book/show/17446528-storm-assault;4.09;2625;2013
25873325;Reversion (Black Hands Novella);E.E. Winston IV;/book/show/25873325-reversion;3.67;3;2015
34928122;Artemis;Andy Weir;/book/show/34928122-artemis;3.67;155094;2017
1898798;Store of Infinity;Robert Sheckley;/book/show/1898798.Store_of_Infinity;4.08;159;1970
36158;In Conquest Born (In Conquest Born, #1);C.S. Friedman;/book/show/36158.In_Conquest_Born;3.89;2682;2001
